"measureid","start_date","national_avg","ga_avg"
"H_CLEAN_STAR_RATING","2021-07-01","3.4","3.1"
"H_CLEAN_STAR_RATING","2022-07-01","3.0","2.8"
"H_CLEAN_STAR_RATING","2023-07-01","3.1","2.9"
"H_COMP_1_STAR_RATING","2021-07-01","3.2","2.9"
"H_COMP_1_STAR_RATING","2022-07-01","3.3","3.0"
"H_COMP_1_STAR_RATING","2023-07-01","3.3","3.1"
"H_COMP_2_STAR_RATING","2021-07-01","3.3","3.4"
"H_COMP_2_STAR_RATING","2022-07-01","3.4","3.4"
"H_COMP_2_STAR_RATING","2023-07-01","3.3","3.2"
"H_COMP_3_STAR_RATING","2021-07-01","3.1","2.6"
"H_COMP_3_STAR_RATING","2022-07-01","3.4","3.0"
"H_COMP_3_STAR_RATING","2023-07-01","3.1","2.8"
"H_COMP_5_STAR_RATING","2021-07-01","3.2","2.9"
"H_COMP_5_STAR_RATING","2022-07-01","3.1","2.8"
"H_COMP_5_STAR_RATING","2023-07-01","3.1","2.8"
"H_COMP_6_STAR_RATING","2021-07-01","3.5","3.0"
"H_COMP_6_STAR_RATING","2022-07-01","3.4","2.9"
"H_COMP_6_STAR_RATING","2023-07-01","3.4","2.8"
"H_COMP_7_STAR_RATING","2021-07-01","3.1","2.9"
"H_COMP_7_STAR_RATING","2022-07-01","3.2","3.0"
"H_COMP_7_STAR_RATING","2023-07-01","3.1","2.9"
"H_HSP_RATING_STAR_RATING","2021-07-01","3.4","3.2"
"H_HSP_RATING_STAR_RATING","2022-07-01","3.2","3.1"
"H_HSP_RATING_STAR_RATING","2023-07-01","3.2","3.2"
"H_QUIET_STAR_RATING","2021-07-01","3.1","3.8"
"H_QUIET_STAR_RATING","2022-07-01","3.2","3.7"
"H_QUIET_STAR_RATING","2023-07-01","3.1","3.6"
"H_RECMND_STAR_RATING","2021-07-01","3.5","3.3"
"H_RECMND_STAR_RATING","2022-07-01","3.5","3.4"
"H_RECMND_STAR_RATING","2023-07-01","3.5","3.4"
"H_STAR_RATING","2021-07-01","3.3","3.1"
"H_STAR_RATING","2022-07-01","3.3","3.1"
"H_STAR_RATING","2023-07-01","3.2","3.0"
